time,close,open,volume,signal,beta,kappa,xi,ret,ret_etf
2021-10-07 12:00:00,60.39,60.62,16932.617,-4.344117503408881,0.9208306930641854,28.06411164720273,0.00010896356360714918,-0.0037941273507092754,-0.005718863413632036
2021-10-07 13:00:00,60.7,60.34,13102.155,-3.947607954004075,0.9109478867852938,28.6947910958468,0.00010904604355930047,0.005133300215267367,0.010585987544154518
2021-10-07 14:00:00,59.04,60.78,18370.984,-4.055787122411181,0.9042503793351434,28.321342901437376,0.00010752168808215274,-0.027347611202635957,-0.014252582135542369
2021-10-07 15:00:00,59.56,59.14,17343.067,-3.915027563592463,0.9607032040655552,28.78018282795492,0.00010151390199462229,0.00880758807588089,0.0022174893976056875
2021-10-07 16:00:00,59.02,59.6,38237.105,-1.562954877913865,0.9635693559225987,14.368971598662583,6.735781419279574e-05,-0.00906648757555406,0.004453537240078909
2021-10-07 17:00:00,59.27,59.13,14731.845,0.7101876917473492,0.9521466507359952,16.44383345201113,6.789212127645503e-05,0.004235852253473338,0.0003714363936406784
2021-10-07 18:00:00,59.63,59.3,9802.517,0.6919257518401776,0.9500712571815612,14.51793113397881,6.644686196491465e-05,0.0060738991057871505,-0.005075273754198473
2021-10-07 19:00:00,60.36,59.66,12794.984,0.5933718096230005,0.9226928400611402,11.613909781011971,6.795005698306018e-05,0.012242159986583845,0.0012611014113614871
2021-10-07 20:00:00,60.79,60.36,16039.826,0.7261391125443188,0.9228976104946375,8.273293440830127,6.839258718226028e-05,0.007123923127899223,0.0038274450465884957
2021-10-07 21:00:00,61.79,60.79,31493.442,0.5361599748041279,0.9275237197455691,7.292926828751602,6.873499476644295e-05,0.01645007402533305,0.002091246016860948
2021-10-07 22:00:00,61.16,61.79,15327.653,0.9736216647768721,0.9322265834206571,5.048515231755557,6.997198609253429e-05,-0.010195824567082123,-0.006904278752312809
2021-10-07 23:00:00,61.43,61.15,9887.332,0.5466124477766101,0.9371923372947248,5.045637625681669,6.965177577317519e-05,0.00441465009810349,-0.002380660977409854
2021-10-08 00:00:00,62.61,61.57,53808.22,0.6864322805864592,0.9273849190704346,4.437773692635314,7.02574766340988e-05,0.019208855608009,0.006252483836705736
2021-10-08 01:00:00,63.6,62.61,50242.971,1.2786183736145094,0.9538452974382086,3.827853233868968,7.179872053397497e-05,0.015812170579779572,0.003336708279924272
2021-10-08 02:00:00,62.63,63.59,24106.769,1.9907138523939485,0.9646725785970625,3.8114780320703483,7.23089529379285e-05,-0.015251572327043994,-0.0083163306073738
2021-10-08 03:00:00,62.54,62.63,13060.776,2.0466523680895694,0.9838469376690714,3.9245464572465125,7.261577980358495e-05,-0.0014370110170844885,-0.0006325292704916219
2021-10-08 04:00:00,62.99,62.48,6449.479,2.038126327392707,0.9841133397846484,3.86685681999343,7.262042729591647e-05,0.0071953949472338685,0.0012142142579145698
2021-10-08 05:00:00,62.7,62.86,21911.608,2.3702342742754974,0.9853037495279603,4.070404986090945,7.227736224505379e-05,-0.004603905381806661,0.005469583951285495
2021-10-08 06:00:00,63.03,62.72,15326.004,2.3673760645194193,0.9722736481285135,4.527517181178712,7.263575761497901e-05,0.0052631578947368585,-0.001041536144016919
2021-10-08 07:00:00,63.38,63.04,6769.905,2.5806620748219773,0.9672120256153828,4.110226885627261,7.292108739764457e-05,0.005552911312073583,0.012900508472228012
2021-10-08 08:00:00,64.23,63.44,5820.259,2.385143352668103,0.944613435818774,4.560336132152625,7.277060567271651e-05,0.013411170716314258,0.017960248464876427
2021-10-08 09:00:00,63.79,64.24,5250.879,2.381130747316374,0.9328429626165089,4.4426702628443335,7.264834724819713e-05,-0.006850381441694031,-0.010159834470017226
2021-10-08 10:00:00,64.64,63.79,6976.617,2.4322713770325954,0.9190752459735773,4.481800279224522,7.27086457470168e-05,0.013324972566232995,0.004570959834595545
2021-10-08 11:00:00,64.14,64.68,23533.331,2.89579118954415,0.9296104277059375,4.659693056989563,7.29672549020216e-05,-0.007735148514851464,-0.004275573215993256
2021-10-08 12:00:00,63.39,64.09,16618.002,2.951096035430161,0.9345856838716515,4.5974074687675595,7.299665803389945e-05,-0.011693171188026152,-0.007437930241424584
2021-10-08 13:00:00,62.59,63.39,16796.603,2.941061755279112,0.9447615503328495,5.152784906522779,7.221748508026371e-05,-0.012620287111531736,-0.012099069184573152
2021-10-08 14:00:00,62.91,62.61,16827.175,3.431951371628718,0.9454352093189118,5.975824379315409,7.03339847529268e-05,0.005112637801565567,0.007414746561637431
2021-10-08 15:00:00,62.73,62.88,23732.297,3.5764131537839616,0.9443214682025627,5.350597799102024,6.95517990959321e-05,-0.0028612303290415086,-0.004375987225758937
2021-10-08 16:00:00,62.77,62.75,12642.105,3.4236863104748427,0.9408088832475822,5.495965846283794,6.949006059662668e-05,0.0006376534353580432,-0.0008650980585522827
2021-10-08 17:00:00,62.06,62.78,24028.341,3.3304671687322918,0.9398646590190916,4.6621402489019586,6.814164710867518e-05,-0.011311135892942525,0.00012190361144059914
2021-10-08 18:00:00,62.44,62.04,12105.583,2.701355614520793,0.9427456292915096,4.99322679608326,6.892270505396652e-05,0.006123106670963496,0.003472724721800935
2021-10-08 19:00:00,62.04,62.43,19228.806,2.8640606140765166,0.9457640937372133,4.922184802381045,6.90558646527041e-05,-0.006406149903907754,0.0036605215775362687
2021-10-08 20:00:00,60.56,62.05,23728.706,2.5356602667629833,0.9378104076190926,5.043893930918837,6.965667919516726e-05,-0.023855577047066312,-0.012412995775314517
2021-10-08 21:00:00,60.23,60.53,14354.622,2.2264743047553037,0.982569367675013,5.377277600179025,7.027432458100694e-05,-0.005449141347424136,0.0027648537770723625
2021-10-08 22:00:00,60.64,60.22,6902.464,2.307426266264141,0.9784323560221698,6.179035337103551,6.935195135089773e-05,0.006807238917483138,-0.0016743492282672578
2021-10-08 23:00:00,60.45,60.64,10489.876,2.9936266914710217,0.9707395388701907,6.4609000655822495,6.993755991368777e-05,-0.0031332453825857476,-0.00214091820205764
2021-10-09 00:00:00,60.63,60.45,12925.704,3.0591453694070823,0.9705032149647259,6.3777637465619135,6.992256527383345e-05,0.0029776674937964653,0.0059506536045816905
2021-10-09 01:00:00,60.22,60.66,6523.161,2.953758028391566,0.968013912440846,6.505334115728765,6.991724230379865e-05,-0.0067623288800924275,-0.0048387269102628805
2021-10-09 02:00:00,60.65,60.22,7166.408,2.8271653358829716,0.9694692097649006,6.08461110187561,6.963598025676581e-05,0.007140484888741305,0.0027033295713045913
2021-10-09 03:00:00,61.24,60.66,7656.657,2.772533283969955,0.973535020443502,5.797022048656967,6.979572614220738e-05,0.009727947238252321,0.007595215726686089
2021-10-09 04:00:00,61.17,61.24,4831.842,2.758302839098927,0.9818304499354186,5.687101705172748,6.98928540154975e-05,-0.0011430437622469425,0.0022431404479281714
2021-10-09 05:00:00,61.11,61.17,4478.183,2.6754195877468616,0.981151480901523,5.89654418321877,6.984933912209431e-05,-0.0009808729769494873,-0.001856051022482541
2021-10-09 06:00:00,61.14,61.05,2059.856,2.815070852909687,0.9796796172118725,6.018627776189796,6.983187080092361e-05,0.0004909180166912108,0.004609104327184532
2021-10-09 07:00:00,61.4,61.21,2450.404,2.9350598078753807,0.976211805263951,6.835923415550178,6.870739183274464e-05,0.0042525351651945265,0.0014431484993606691
2021-10-09 08:00:00,60.43,61.31,3582.381,3.3622666286183365,0.9774097179597218,6.847784717860725,6.880523776457976e-05,-0.015798045602605892,-0.003313038341423713
2021-10-09 09:00:00,60.87,60.43,3222.934,2.976929779998327,0.9944204040104939,7.142646570224014,6.985167205593984e-05,0.007281151745821557,0.0031434099989295916
2021-10-09 10:00:00,61.4,60.84,1451.275,3.2125954859582366,0.9996709073086364,7.11817389823612,7.00410689136785e-05,0.00870708066370951,-0.0006776937872849942
2021-10-09 11:00:00,61.08,61.4,3913.068,3.4336692381811886,0.9947822249373555,6.906403897266006,7.077025292862107e-05,-0.005211726384364845,-0.001420077202349379
2021-10-09 12:00:00,61.28,61.12,3981.571,3.3765149829158014,0.9977165847501441,7.636880731590742,7.010115480598974e-05,0.0032743942370661028,0.003193240205523473
2021-10-09 13:00:00,61.7,61.28,9578.839,3.7922939107254736,0.999546101983055,8.321827639989548,6.952485382035844e-05,0.006853785900783338,0.004762700701927969
2021-10-09 14:00:00,61.97,61.7,26026.405,4.014727329614834,1.0051341065682418,8.019242822843042,6.950028931013685e-05,0.004376012965964238,-0.0016619218956444026
2021-10-09 15:00:00,61.39,61.99,10911.935,4.106733774350308,0.999578445478161,8.147579049628947,6.974514985623744e-05,-0.00935936743585608,-0.0028820633216236624
2021-10-09 16:00:00,60.57,61.39,8683.916,3.755725572476117,1.0090209678551643,7.595906321999354,6.972964708099337e-05,-0.013357224303632509,-0.0030891479585130055
2021-10-09 17:00:00,60.71,60.53,6251.187,3.1395102998597926,1.0244333267204075,7.529454361186109,7.05671846719925e-05,0.002311375268284621,0.001972360683900165
2021-10-09 18:00:00,60.64,60.67,6071.24,3.109364242519355,1.0262494745259618,7.538646259025954,7.05618407905917e-05,-0.0011530225662987892,-0.00030602161703219277
2021-10-09 19:00:00,60.49,60.69,5005.235,3.015106008676022,1.0271323716861906,7.369148848177626,7.05149663594352e-05,-0.0024736147757256077,-0.004438216518753313
2021-10-09 20:00:00,60.74,60.43,7257.461,2.976779818025148,1.0217234389921128,7.3083886708505394,7.050754829864293e-05,0.004132914531327581,0.00018949984296745548
2021-10-09 21:00:00,61.14,60.73,9276.828,3.134171560457901,1.0220451524751604,7.716910957734648,7.046206087866817e-05,0.006585446163977604,0.0032406380399334633
2021-10-09 22:00:00,60.87,61.09,16769.311,3.1911644967256962,1.02801235951618,6.856298137605401,6.973211248689107e-05,-0.00441609421000988,0.0009528273012819888
2021-10-09 23:00:00,60.62,60.88,4678.428,2.8350713275527135,1.0284074694663052,7.511509647302726,6.92888942766892e-05,-0.004107113520617656,0.0009511918216809079
2021-10-10 00:00:00,60.16,60.6,7953.948,2.8471900480825316,1.0289100978255465,7.372672836700823,6.946003871985514e-05,-0.007588254701418662,-0.000678465180399157
2021-10-10 01:00:00,59.66,60.16,15349.726,2.565997761536895,1.0336489240576463,7.470038010567911,6.977789930861004e-05,-0.00831117021276595,-0.009297587619481074
2021-10-10 02:00:00,59.71,59.64,6522.819,2.601151976918618,1.0252287190676377,7.251071103536488,6.960661323440313e-05,0.0008380824673148712,0.0042367516056891485
2021-10-10 03:00:00,60.34,59.68,21798.348,2.487931415076346,1.0221216518508816,7.944652146151012,6.886525834332313e-05,0.010550996483001285,0.00721019191737482
2021-10-10 04:00:00,60.69,60.35,6351.153,3.0036344353934146,1.035977640099309,8.517435443417993,6.877831339732755e-05,0.0058004640371229765,0.015308272135674317
2021-10-10 05:00:00,60.51,60.66,6902.176,2.79741778013944,0.9812334854595839,9.262948852595253,6.848925263210683e-05,-0.002965892239248591,-0.00396231878144826
2021-10-10 06:00:00,60.84,60.49,2333.835,3.243916877266814,0.978183276934183,10.044488495374866,6.815809887061475e-05,0.005453644025780857,-0.0006690621631332272
2021-10-10 07:00:00,60.46,60.85,1190.51,3.8653120212174468,0.9749911157660887,11.630256405163378,6.760363539911257e-05,-0.0062458908612754716,0.001121303581483435
2021-10-10 08:00:00,60.23,60.42,1516.432,3.643017263333433,0.9743579752571915,10.71141504807029,6.80129584591745e-05,-0.0038041680449885096,-0.001777494278993208
2021-10-10 09:00:00,59.92,60.21,2549.286,3.364619406357153,0.9764050843951299,10.936443691109027,6.799659971630701e-05,-0.005146936742487007,-0.010669204469098914
